World Rank,Institution,Country,National Rank,Quality of Education Rank,Alumni Employment Rank,Quality of Faculty Rank,Research Performance Rank,Score
1236,University of Hyderabad,India,27,0.0,0.0,0.0,1172.0,68.9
1237,Gran Sasso Science Institute,Italy,52,0.0,0.0,0.0,1173.0,68.9
1238,S?�leyman Demirel University,Turkey,23,0.0,0.0,0.0,1174.0,68.9
1239,University of Western Cape,South Africa,9,0.0,0.0,0.0,1175.0,68.9
1240,Texas State University,USA,261,0.0,1428.0,0.0,1176.0,68.9
1241,Fujita Health University,Japan,64,0.0,0.0,0.0,1178.0,68.9
1242,Federal University of Esp??rito Santo,Brazil,31,0.0,0.0,0.0,1179.0,68.9
1243,Saitama Medical University,Japan,65,0.0,0.0,0.0,1180.0,68.9
1244,University of Algarve,Portugal,7,0.0,0.0,0.0,1181.0,68.9
1245,University of Southern Queensland,Australia,33,0.0,1039.0,0.0,1186.0,68.9
1246,Chung Yuan Christian University,Taiwan,20,0.0,453.0,0.0,1230.0,68.9
1247,Saitama University,Japan,66,361.0,855.0,0.0,1199.0,68.9
1248,Boise State University,USA,262,0.0,1514.0,0.0,1184.0,68.9
1249,Henan University of Science and Technology,China,166,0.0,1394.0,0.0,1187.0,68.9
1250,SOAS University of London,United Kingdom,70,61.0,870.0,0.0,1862.0,68.9
1251,University of Namur,Belgium,10,332.0,571.0,0.0,1226.0,68.9
1252,Kasetsart University,Thailand,6,0.0,1566.0,0.0,1188.0,68.9
1253,K��chi University,Japan,67,0.0,0.0,0.0,1189.0,68.8
1254,United Arab Emirates University,United Arab Emirates,2,0.0,1469.0,0.0,1190.0,68.8
1255,University of the Punjab,Pakistan,4,448.0,1578.0,0.0,1193.0,68.8
1256,Ca' Foscari University of Venice,Italy,53,0.0,1480.0,0.0,1191.0,68.8
1257,Czech University of Life Sciences Prague,Czech Republic,7,0.0,0.0,0.0,1192.0,68.8
1258,Austral University of Chile,Chile,6,0.0,1077.0,0.0,1198.0,68.8
1259,Public University of Navarre,Spain,43,0.0,0.0,0.0,1195.0,68.8
1260,Qilu University of Technology,China,167,0.0,0.0,0.0,1196.0,68.8
1261,K. N. Toosi University of Technology,Iran,14,0.0,0.0,0.0,1197.0,68.8
1262,"??cole sup??rieure de chimie, physique, ??lectronique de Lyon",France,54,30.0,0.0,0.0,0.0,68.8
1263,Saga University,Japan,68,0.0,0.0,0.0,1201.0,68.8
1264,Wenzhou University,China,168,0.0,0.0,0.0,1202.0,68.8
1265,XLRI - Xavier School of Management,India,28,0.0,46.0,0.0,0.0,68.8
1266,"Vietnam National University, Hanoi",Vietnam,1,0.0,0.0,0.0,1203.0,68.8
1267,Hirosaki University,Japan,69,0.0,1026.0,0.0,1207.0,68.8
1268,University of Camerino,Italy,54,0.0,0.0,0.0,1204.0,68.8
1269,Guangxi Medical University,China,169,0.0,0.0,0.0,1205.0,68.8
1270,Federal University of Uberl?�ndia,Brazil,32,0.0,0.0,0.0,1206.0,68.8
1271,SUNY College of Environmental Science and Forestry,USA,263,99.0,0.0,0.0,1489.0,68.8
1272,Bowling Green State University,USA,264,0.0,749.0,0.0,1223.0,68.8
1273,Tottori University,Japan,70,273.0,787.0,0.0,1249.0,68.7
1274,Tuscia University,Italy,55,0.0,0.0,0.0,1209.0,68.7
1275,National Institute for Space Research (INPE),Brazil,33,0.0,0.0,0.0,1210.0,68.7
1276,"Institute of Physics, Azerbaijan National Academy of Sciences",Azerbaijan,1,0.0,0.0,0.0,1211.0,68.7
1277,Chang'an University,China,170,0.0,1534.0,0.0,1212.0,68.7
1278,Linnaeus University,Sweden,14,0.0,0.0,0.0,1213.0,68.7
1279,National University of Distance Education,Spain,44,0.0,1318.0,0.0,1214.0,68.7
1280,Lakehead University,Canada,32,0.0,730.0,0.0,1229.0,68.7
1281,Vellore Institute of Technology,India,29,0.0,0.0,0.0,1215.0,68.7
1282,Bournemouth University,United Kingdom,71,0.0,0.0,0.0,1217.0,68.7
1283,Campus Bio-Medico University,Italy,56,0.0,0.0,0.0,1218.0,68.7
1284,University of Pau and Pays de l'Adour,France,55,0.0,0.0,0.0,1219.0,68.7
1285,Hyogo College of Medicine,Japan,71,0.0,0.0,0.0,1220.0,68.7
1286,State University of Maring?�,Brazil,34,0.0,0.0,0.0,1221.0,68.7
1287,University of Almer??a,Spain,45,0.0,0.0,0.0,1222.0,68.7
1288,Hebei Medical University,China,171,0.0,1568.0,0.0,1224.0,68.7
1289,"California State University, Fullerton",USA,265,0.0,1116.0,0.0,1228.0,68.7
1290,Keimyung University,South Korea,40,0.0,1529.0,0.0,1225.0,68.7
1291,Hampton University,USA,266,0.0,0.0,0.0,1227.0,68.7
1292,Xi'an University of Technology,China,172,0.0,925.0,0.0,1231.0,68.7
1293,ESSEC Business School,France,56,0.0,69.0,0.0,0.0,68.6
1294,"California State University, Northridge",USA,267,0.0,1222.0,0.0,1233.0,68.6
1295,??cole des Hautes ??tudes en Sciences Sociales,France,57,256.0,598.0,0.0,1310.0,68.6
1296,Medical University Sofia,Bulgaria,2,0.0,0.0,0.0,1232.0,68.6
1297,Zagazig University,Egypt,7,0.0,0.0,0.0,1234.0,68.6
1298,Brno University of Technology,Czech Republic,8,0.0,0.0,0.0,1235.0,68.6
1299,Showa University,Japan,72,0.0,869.0,0.0,1254.0,68.6
1300,Fukuoka University,Japan,73,0.0,0.0,0.0,1236.0,68.6
1301,National Taiwan Ocean University,Taiwan,21,0.0,1093.0,0.0,1243.0,68.6
1302,Heilongjiang University,China,173,0.0,1416.0,0.0,1238.0,68.6
1303,Hiroshima Institute of Technology,Japan,74,0.0,0.0,0.0,1237.0,68.6
1304,Atat?�rk University,Turkey,24,0.0,1448.0,0.0,1239.0,68.6
1305,Shanghai University of Traditional Chinese Medicine,China,174,0.0,0.0,0.0,1240.0,68.6
1306,Trent University,Canada,33,0.0,1270.0,0.0,1245.0,68.6
1307,Shenyang Pharmaceutical University,China,175,0.0,0.0,0.0,1244.0,68.6
1308,University of Foggia,Italy,57,0.0,0.0,0.0,1246.0,68.6
1309,University of Miyazaki,Japan,75,0.0,0.0,0.0,1247.0,68.6
1310,Chosun University,South Korea,41,0.0,0.0,0.0,1248.0,68.6
1311,Babol Noshirvani University of Technology,Iran,15,0.0,0.0,0.0,1250.0,68.6
1312,Pavol Jozef � af?�rik University in Ko��ice,Slovak Republic,2,0.0,0.0,0.0,1251.0,68.6
1313,Rhodes University,South Africa,10,375.0,900.0,0.0,1269.0,68.5
1314,Anhui Normal University,China,176,0.0,0.0,0.0,1252.0,68.5
1315,Fayoum University,Egypt,8,0.0,0.0,0.0,1253.0,68.5
1316,Kurume University,Japan,76,0.0,0.0,0.0,1255.0,68.5
1317,Federal University of Lavras,Brazil,35,0.0,0.0,0.0,1256.0,68.5
1318,Erzincan Binali Y��ld��r��m University,Turkey,25,0.0,0.0,0.0,1257.0,68.5
1319,National University of Science and Technology MISiS,Russia,22,0.0,1205.0,0.0,1259.0,68.5
1320,Zhejiang A&F University,China,177,0.0,0.0,0.0,1260.0,68.5
1321,University of Yaound?? I,Cameroon,1,0.0,0.0,0.0,1261.0,68.5
1322,Warsaw University of Life Sciences,Poland,21,437.0,0.0,0.0,1263.0,68.5
1323,Autonomous University of Nuevo Le??n,Mexico,10,0.0,0.0,0.0,1262.0,68.5
1324,Wuhan University of Science and Technology,China,178,0.0,879.0,0.0,1274.0,68.5
1325,Gda�?sk University of Technology,Poland,22,0.0,1179.0,0.0,1265.0,68.5
1326,Soongsil University,South Korea,42,0.0,0.0,0.0,1264.0,68.5
1327,University of Le??n,Spain,46,0.0,0.0,0.0,1266.0,68.5
1328,Hainan University,China,179,0.0,0.0,0.0,1267.0,68.5
1329,University of Limoges,France,58,0.0,0.0,0.0,1268.0,68.5
1330,Mashhad University of Medical Sciences,Iran,16,0.0,0.0,0.0,1270.0,68.5
1331,National Kaohsiung University of Science and Technology,Taiwan,22,0.0,0.0,0.0,1271.0,68.5
1332,Kuwait University,Kuwait,1,0.0,1246.0,0.0,1275.0,68.5
1333,National University of Rosario,Argentina,4,0.0,0.0,0.0,1272.0,68.5
1334,University of Central Lancashire,United Kingdom,72,0.0,1255.0,0.0,1276.0,68.4
1335,National Chung Cheng University,Taiwan,23,0.0,0.0,0.0,1273.0,68.4
1336,National Chengchi University,Taiwan,24,0.0,124.0,0.0,1695.0,68.4
1337,Antonio Nari?�o University,Colombia,4,0.0,0.0,0.0,1277.0,68.4
1338,Coventry University,United Kingdom,73,0.0,1029.0,0.0,1283.0,68.4
1339,Uluda�? University,Turkey,26,0.0,0.0,0.0,1278.0,68.4
1340,University of Agriculture Faisalabad,Pakistan,5,0.0,0.0,0.0,1279.0,68.4
1341,University of Ghana,Ghana,1,0.0,1543.0,0.0,1280.0,68.4
1342,Okinawa Institute of Science and Technology,Japan,77,0.0,0.0,0.0,1282.0,68.4
1343,Southern Cross University,Australia,34,0.0,0.0,0.0,1284.0,68.4
1344,University of Carthage,Tunisia,3,0.0,0.0,0.0,1286.0,68.4
1345,Isfahan University of Medical Sciences,Iran,17,0.0,0.0,0.0,1287.0,68.4
1346,Ontario Tech University,Canada,34,0.0,0.0,0.0,1288.0,68.4
1347,University of Malawi,Malawi,1,0.0,0.0,0.0,1289.0,68.4
1348,Sel??uk University,Turkey,27,0.0,1562.0,0.0,1290.0,68.4
1349,Oxford Brookes University,United Kingdom,74,0.0,0.0,0.0,1291.0,68.4
1350,Kwansei Gakuin University,Japan,78,0.0,119.0,0.0,1766.0,68.4
1351,Jordan University of Science and Technology,Jordan,1,0.0,0.0,0.0,1292.0,68.4
1352,Democritus University of Thrace,Greece,8,0.0,0.0,0.0,1293.0,68.4
1353,British University in Egypt,Egypt,9,0.0,0.0,0.0,1294.0,68.4
1354,Skolkovo Institute of Science and Technology,Russia,23,0.0,0.0,0.0,1296.0,68.4
1355,Guangxi Normal University,China,180,0.0,0.0,0.0,1297.0,68.3
1356,University of Guadalajara,Mexico,11,0.0,0.0,0.0,1298.0,68.3
1357,Lodz University of Technology,Poland,23,0.0,0.0,0.0,1299.0,68.3
1358,University of Toulouse-Jean Jaur??s,France,59,0.0,0.0,0.0,1300.0,68.3
1359,University of Monastir,Tunisia,4,0.0,0.0,0.0,1301.0,68.3
1360,University of Stavanger,Norway,7,0.0,0.0,0.0,1302.0,68.3
1361,Southwest University of Science and Technology,China,181,0.0,1402.0,0.0,1304.0,68.3
1362,San Jose State University,USA,268,251.0,941.0,0.0,1346.0,68.3
1363,Singapore Management University,Singapore,4,0.0,0.0,0.0,1305.0,68.3
1364,Western Michigan University,USA,269,0.0,0.0,0.0,1306.0,68.3
1365,University of Greenwich,United Kingdom,75,236.0,1328.0,0.0,1349.0,68.3
1366,Changsha University of Science and Technology,China,182,0.0,0.0,0.0,1307.0,68.3
1367,University of South Alabama,USA,270,0.0,0.0,0.0,1308.0,68.3
1368,Institute of Tropical Medicine Antwerp,Belgium,11,0.0,0.0,0.0,1309.0,68.3
1369,Carleton College,USA,271,77.0,314.0,0.0,1921.0,68.3
1370,Shimane University,Japan,79,0.0,0.0,0.0,1311.0,68.3
1371,CY Cergy Paris University,France,60,0.0,0.0,0.0,1312.0,68.3
1372,Istanbul University-Cerrahpa�?a,Turkey,28,0.0,0.0,0.0,1313.0,68.3
1373,"Indian Institute of Science Education and Research, Kolkata",India,30,0.0,0.0,0.0,1314.0,68.3
1374,University of the Aegean,Greece,9,0.0,0.0,0.0,1315.0,68.3
1375,Nagoya Institute of Technology,Japan,80,0.0,1364.0,0.0,1317.0,68.3
1376,University of Perpignan,France,61,0.0,0.0,0.0,1316.0,68.3
1377,University of Costa Rica,Costa Rica,1,0.0,0.0,0.0,1318.0,68.2
1378,Henan Polytechnic University,China,183,0.0,1300.0,0.0,1320.0,68.2
1379,Bohai University,China,184,0.0,1184.0,0.0,1322.0,68.2
1380,Sultan Qaboos University,Oman,1,0.0,0.0,0.0,1319.0,68.2
1381,??zye�?in University,Turkey,29,0.0,0.0,0.0,1321.0,68.2
1382,"National Institute of Technology, Rourkela",India,31,0.0,283.0,0.0,1457.0,68.2
1383,Iran University of Medical Sciences,Iran,18,0.0,0.0,0.0,1323.0,68.2
1384,Southwest Petroleum University,China,185,0.0,1085.0,0.0,1326.0,68.2
1385,University of Electro-Communications,Japan,81,0.0,0.0,0.0,1324.0,68.2
1386,"University of Santiago, Chile",Chile,7,0.0,993.0,0.0,1329.0,68.2
1387,Feng Chia University,Taiwan,25,0.0,510.0,0.0,1367.0,68.2
1388,Southwestern University of Finance and Economics,China,186,0.0,177.0,0.0,1596.0,68.2
1389,Savitribai Phule Pune University,India,32,528.0,1293.0,0.0,1327.0,68.2
1390,University of Reims Champagne-Ardenne,France,62,0.0,976.0,0.0,1331.0,68.2
1391,??cole de technologie sup??rieure,Canada,35,0.0,0.0,0.0,1328.0,68.2
1392,Institute for Pure and Applied Mathematics (IMPA),Brazil,36,91.0,0.0,224.0,0.0,68.2
1393,Grinnell College,USA,272,48.0,0.0,0.0,0.0,68.2
1394,Williams College,USA,273,149.0,151.0,0.0,1868.0,68.2
1395,Jeju National University,South Korea,43,0.0,0.0,0.0,1330.0,68.2
1396,Royal Veterinary College,United Kingdom,76,282.0,0.0,0.0,1354.0,68.2
1397,Manipal Academy of Higher Education,India,33,0.0,957.0,0.0,1337.0,68.2
1398,Silesian University of Technology,Poland,24,0.0,1492.0,0.0,1333.0,68.1
1399,University of the Sunshine Coast,Australia,35,0.0,0.0,0.0,1332.0,68.1
1400,Taras Shevchenko National University of Kyiv,Ukraine,2,0.0,0.0,0.0,1334.0,68.1
1401,"California State University, Long Beach",USA,274,0.0,1419.0,0.0,1335.0,68.1
1402,China Jiliang University,China,187,0.0,0.0,0.0,1336.0,68.1
1403,University of Occupational and Environmental Health Japan,Japan,82,0.0,0.0,0.0,1338.0,68.1
1404,Cha University,South Korea,44,0.0,0.0,0.0,1339.0,68.1
1405,University of Beira Interior,Portugal,8,0.0,0.0,0.0,1340.0,68.1
1406,Wuhan Institute of Technology,China,188,0.0,0.0,0.0,1341.0,68.1
1407,Akdeniz University,Turkey,30,0.0,0.0,0.0,1342.0,68.1
1408,Xuzhou Medical University,China,189,0.0,0.0,0.0,1343.0,68.1
1409,University of Isfahan,Iran,19,0.0,0.0,0.0,1344.0,68.1
1410,Clarkson University,USA,275,0.0,797.0,0.0,1353.0,68.1
1411,Leuphana University of L?�neburg,Germany,61,0.0,0.0,0.0,1345.0,68.1
1412,Michoac?�n University of San Nicol?�s of Hidalgo,Mexico,12,0.0,0.0,0.0,1347.0,68.1
1413,Fairfield University,USA,276,0.0,515.0,0.0,1392.0,68.1
1414,Northwest Normal University,China,190,0.0,0.0,0.0,1348.0,68.1
1415,Xinjiang University,China,191,0.0,1323.0,0.0,1350.0,68.1
1416,University of South Africa,South Africa,11,0.0,955.0,0.0,1351.0,68.1
1417,Doshisha University,Japan,83,0.0,140.0,0.0,1750.0,68.1
1418,University of Lethbridge,Canada,36,295.0,0.0,0.0,1370.0,68.1
1419,Pontifical Catholic University of Rio Grande do Sul,Brazil,37,0.0,866.0,0.0,1360.0,68.1
1420,University of South Dakota,USA,277,284.0,0.0,0.0,1376.0,68.0
1421,University of Minnesota Duluth,USA,278,303.0,1259.0,0.0,1374.0,68.0
1422,University of Nairobi,Kenya,1,0.0,1564.0,0.0,1352.0,68.0
1423,Hanken School of Economics,Finland,10,0.0,79.0,0.0,0.0,68.0
1424,State University of Londrina,Brazil,38,0.0,0.0,0.0,1355.0,68.0
1425,University of Southern Mississippi,USA,279,0.0,0.0,0.0,1356.0,68.0
1426,T??n ����?c Th��?ng University,Vietnam,2,0.0,0.0,0.0,1357.0,68.0
1427,Do�?u�? University,Turkey,31,0.0,0.0,0.0,1358.0,68.0
1428,Liaocheng University,China,192,0.0,0.0,0.0,1359.0,68.0
1429,Baruch College,USA,280,0.0,704.0,263.0,1515.0,68.0
1430,University of Jordan,Jordan,2,0.0,0.0,0.0,1362.0,68.0
1431,Kagawa University,Japan,84,0.0,891.0,0.0,1373.0,68.0
1432,Tianjin University of Science and Technology,China,193,0.0,0.0,0.0,1363.0,68.0
1433,Jiangsu University of Science and Technology,China,194,0.0,0.0,0.0,1364.0,68.0
1434,V.A. Steklov Mathematical Institute of the Russian Academy of Sciences,Russia,24,0.0,0.0,244.0,1591.0,68.0
1435,Fukushima Medical University,Japan,85,0.0,0.0,0.0,1366.0,68.0
1436,Shiga University of Medical Science,Japan,86,0.0,0.0,0.0,1368.0,68.0
1437,Pontifical Catholic University of Valpara??so,Chile,8,0.0,0.0,0.0,1369.0,68.0
1438,University of South China,China,195,0.0,854.0,0.0,1387.0,68.0
1439,University of Huelva,Spain,47,0.0,0.0,0.0,1371.0,68.0
1440,King Saud bin Abdulaziz University for Health Sciences,Saudi Arabia,5,0.0,0.0,0.0,1372.0,68.0
1441,Kwame Nkrumah University of Science and Technology,Ghana,2,508.0,0.0,0.0,1375.0,68.0
1442,Karadeniz Technical University,Turkey,32,0.0,1231.0,0.0,1378.0,67.9
1443,Technical University of Ilmenau,Germany,62,0.0,0.0,0.0,1377.0,67.9
1444,Witten/Herdecke University,Germany,63,0.0,0.0,0.0,1379.0,67.9
1445,University of ??vora,Portugal,9,0.0,1431.0,0.0,1380.0,67.9
1446,Tamkang University,Taiwan,26,0.0,1301.0,0.0,1383.0,67.9
1447,Tallinn University of Technology,Estonia,2,0.0,0.0,0.0,1381.0,67.9
1448,Kyoto University of Education,Japan,87,0.0,0.0,0.0,1382.0,67.9
1449,Ilia State University,Georgia,2,0.0,0.0,0.0,1384.0,67.9
1450,Education University of Hong Kong,China,196,0.0,0.0,0.0,1385.0,67.9
1451,Texas Tech University Health Sciences Center,USA,281,0.0,0.0,0.0,1386.0,67.9
1452,Alexandru Ioan Cuza University of Ia�?i,Romania,6,0.0,0.0,0.0,1388.0,67.9
1453,Nova Southeastern University,USA,282,0.0,959.0,0.0,1395.0,67.9
1454,University of Caen Normandy,France,63,0.0,0.0,0.0,1389.0,67.9
1455,University of San Francisco,USA,283,0.0,116.0,0.0,1953.0,67.9
1456,National University of Sciences and Technology,Pakistan,6,0.0,0.0,0.0,1390.0,67.9
1457,Freiberg University of Mining and Technology,Germany,64,0.0,0.0,0.0,1391.0,67.9
1458,Henan Agricultural University,China,197,0.0,1385.0,0.0,1393.0,67.9
1459,University of Salford,United Kingdom,77,0.0,1359.0,0.0,1394.0,67.9
1460,Guglielmo Marconi University,Italy,58,0.0,0.0,0.0,1396.0,67.9
1461,I-Shou University,Taiwan,27,0.0,0.0,0.0,1397.0,67.9
1462,Yuan Ze University,Taiwan,28,0.0,0.0,0.0,1398.0,67.9
1463,National University of Cuyo,Argentina,5,0.0,0.0,0.0,1399.0,67.9
1464,Lincoln University,New Zealand,8,0.0,0.0,0.0,1400.0,67.8
1465,University of Tr?�s-os-Montes and Alto Douro,Portugal,10,0.0,0.0,0.0,1401.0,67.8
1466,University of Veterinary Medicine Hanover,Germany,65,385.0,0.0,0.0,1408.0,67.8
1467,University of La Frontera,Chile,9,0.0,0.0,0.0,1402.0,67.8
1468,Hamburg University of Technology,Germany,66,0.0,0.0,0.0,1403.0,67.8
1469,Sapporo Medical University,Japan,88,0.0,0.0,0.0,1404.0,67.8
1470,Ball State University,USA,284,0.0,491.0,0.0,1471.0,67.8
1471,Anhui University of Technology,China,198,0.0,911.0,0.0,1414.0,67.8
1472,Ochanomizu University,Japan,89,0.0,0.0,0.0,1405.0,67.8
1473,Tanta University,Egypt,10,0.0,0.0,0.0,1406.0,67.8
1474,Arts et M??tiers Sciences et Technologies,France,64,387.0,532.0,0.0,1470.0,67.8
1475,South Central University for Nationalities,China,199,0.0,1518.0,0.0,1407.0,67.8
1476,Central Michigan University,USA,285,0.0,963.0,0.0,1417.0,67.8
1477,Anglia Ruskin University,United Kingdom,78,0.0,0.0,0.0,1409.0,67.8
1478,University of Lincoln,United Kingdom,79,0.0,0.0,0.0,1411.0,67.8
1479,Federal University of Technology - Paran?�,Brazil,39,0.0,0.0,0.0,1412.0,67.8
1480,Institute of Applied Physics of the Russian Academy of Sciences,Russia,25,0.0,0.0,0.0,1413.0,67.8
1481,Kookmin University,South Korea,45,0.0,1472.0,0.0,1415.0,67.8
1482,Duy T?�n University,Vietnam,3,0.0,0.0,0.0,1416.0,67.8
1483,Illinois State University,USA,286,0.0,764.0,0.0,1440.0,67.8
1484,Myongji University,South Korea,46,0.0,1510.0,0.0,1418.0,67.8
1485,Ibaraki University,Japan,90,0.0,0.0,0.0,1419.0,67.8
1486,??cole nationale v??t??rinaire d'Alfort,France,65,0.0,74.0,0.0,0.0,67.8
1487,Shiraz University of Medical Sciences,Iran,20,0.0,0.0,0.0,1420.0,67.7
1488,Zhejiang Gongshang University,China,200,0.0,1274.0,0.0,1425.0,67.7
1489,Iuliu Ha??ieganu University of Medicine and Pharmacy,Romania,7,0.0,0.0,0.0,1422.0,67.7
1490,National Institute of Amazonian Research (INPA),Brazil,40,0.0,0.0,0.0,1423.0,67.7
1491,Texas Christian University,USA,287,0.0,0.0,0.0,1424.0,67.7
1492,National University of the Littoral,Argentina,6,0.0,0.0,0.0,1426.0,67.7
1493,University of Avignon,France,66,0.0,0.0,0.0,1427.0,67.7
1494,University of Tulsa,USA,288,0.0,209.0,0.0,1677.0,67.7
1495,F��rat University,Turkey,33,0.0,0.0,0.0,1428.0,67.7
1496,Maria Curie-Sk�?odowska University,Poland,25,0.0,1355.0,0.0,1430.0,67.7
1497,Montclair State University,USA,289,0.0,1350.0,0.0,1432.0,67.7
1498,Incheon National University,South Korea,47,0.0,0.0,0.0,1429.0,67.7
1499,Kyushu Institute of Technology,Japan,91,0.0,0.0,0.0,1431.0,67.7
1500,Pomeranian Medical University in Szczecin,Poland,26,0.0,0.0,0.0,1433.0,67.7
1501,Western Norway University of Applied Sciences,Norway,8,0.0,0.0,0.0,1434.0,67.7
1502,Istanbul Bilgi University,Turkey,34,0.0,0.0,0.0,1435.0,67.7
1503,Hamamatsu University School of Medicine,Japan,92,0.0,0.0,0.0,1436.0,67.7
1504,Shanghai Ocean University,China,201,0.0,0.0,0.0,1437.0,67.7
1505,Chongqing University of Posts and Telecommunications,China,202,0.0,0.0,0.0,1438.0,67.7
1506,University of Guilan,Iran,21,0.0,0.0,0.0,1439.0,67.7
1507,DePaul University,USA,290,0.0,524.0,0.0,1486.0,67.7
1508,University of Sannio,Italy,59,0.0,0.0,0.0,1441.0,67.7
1509,Hebei Normal University,China,203,0.0,1133.0,0.0,1446.0,67.7
1510,Seoul National University of Science and Technology,South Korea,48,0.0,0.0,0.0,1442.0,67.6
1511,Pozna�? University of Technology,Poland,27,0.0,0.0,0.0,1443.0,67.6
1512,"Queens College, City University of New York",USA,291,0.0,750.0,0.0,1463.0,67.6
1513,Qingdao Agricultural University,China,204,0.0,0.0,0.0,1444.0,67.6
1514,Utah Valley University,USA,292,0.0,0.0,0.0,1445.0,67.6
1515,Istanbul Ayd��n University,Turkey,35,0.0,0.0,0.0,1447.0,67.6
1516,Eastern Virginia Medical School,USA,293,0.0,0.0,0.0,1448.0,67.6
1517,Vienna University of Economics and Business,Austria,15,0.0,139.0,0.0,1889.0,67.6
1518,Cayetano Heredia Peruvian University,Peru,1,0.0,0.0,0.0,1449.0,67.6
1519,University of Huddersfield,United Kingdom,80,0.0,1479.0,0.0,1450.0,67.6
1520,"Indian Institute of Technology (Indian School of Mines), Dhanbad",India,34,0.0,623.0,0.0,1478.0,67.6
1521,Helwan University,Egypt,11,0.0,0.0,0.0,1451.0,67.6
1522,Indian Institute of Technology Indore,India,35,0.0,0.0,0.0,1452.0,67.6
1523,Razi University,Iran,22,0.0,0.0,0.0,1453.0,67.6
1524,Guangzhou University of Chinese Medicine,China,205,0.0,0.0,0.0,1454.0,67.6
1525,Pozna�? University of Life Sciences,Poland,28,0.0,0.0,0.0,1455.0,67.6
1526,University of Rijeka,Croatia,3,0.0,0.0,0.0,1456.0,67.6
1527,International Islamic University Malaysia,Malaysia,6,0.0,0.0,0.0,1458.0,67.6
1528,"Federal Institute of Education, Science and Technology of Rio Grande do Sul",Brazil,41,0.0,0.0,0.0,1459.0,67.6
1529,Indian Institute of Technology (BHU) Varanasi,India,36,0.0,1145.0,0.0,1461.0,67.6
1530,Tabriz University of Medical Sciences,Iran,23,0.0,0.0,0.0,1460.0,67.6
1531,Rikkyo University,Japan,93,467.0,388.0,0.0,1544.0,67.6
1532,Federal University of Sergipe,Brazil,42,0.0,0.0,0.0,1462.0,67.6
1533,Wakayama Medical University,Japan,94,0.0,0.0,0.0,1464.0,67.5
1534,Sabanc�� University,Turkey,36,0.0,1330.0,0.0,1466.0,67.5
1535,Medical University of Lublin,Poland,29,0.0,0.0,0.0,1465.0,67.5
1536,University of Guanajuato,Mexico,13,0.0,1303.0,0.0,1468.0,67.5
1537,University of Latvia,Latvia,1,0.0,0.0,0.0,1467.0,67.5
1538,Thapar Institute of Engineering and Technology,India,37,0.0,1341.0,0.0,1469.0,67.5
1539,N.N. Semenov Institute of Chemical Physics of the Russian Academy of Sciences,Russia,26,0.0,0.0,204.0,1955.0,67.5
1540,Shaanxi University of Science and Technology,China,206,0.0,739.0,0.0,1485.0,67.5
1541,Middlesex University,United Kingdom,81,498.0,971.0,0.0,1477.0,67.5
1542,Shihezi University,China,207,0.0,0.0,0.0,1472.0,67.5
1543,Lobachevsky University,Russia,27,0.0,1286.0,0.0,1474.0,67.5
1544,Norwegian School of Sport Sciences,Norway,9,0.0,0.0,0.0,1473.0,67.5
1545,National University of Mar del Plata,Argentina,7,0.0,0.0,0.0,1475.0,67.5
1546,Trinity University,USA,294,0.0,134.0,0.0,1949.0,67.5
1547,Ohio Wesleyan University,USA,295,65.0,148.0,0.0,0.0,67.5
1548,Guilin University of Electronic Technology,China,208,0.0,0.0,0.0,1476.0,67.5
1549,Pontifical Catholic University of Rio de Janeiro,Brazil,43,0.0,325.0,0.0,1595.0,67.5
1550,"Birla Institute of Technology and Science, Pilani",India,38,0.0,485.0,0.0,1532.0,67.5
1551,King Mongkut's University of Technology Thonburi,Thailand,7,0.0,1316.0,0.0,1479.0,67.5
1552,North China University of Science and Technology,China,209,0.0,0.0,0.0,1480.0,67.5
1553,Semnan University,Iran,24,0.0,0.0,0.0,1481.0,67.5
1554,Lanzhou University of Technology,China,210,0.0,0.0,0.0,1482.0,67.5
1555,De Montfort University,United Kingdom,82,0.0,0.0,0.0,1483.0,67.5
1556,Shanxi Medical University,China,211,0.0,0.0,0.0,1484.0,67.4
1557,Cooper Union,USA,296,45.0,583.0,0.0,0.0,67.4
1558,"Indian Statistical Institute, Kolkata",India,39,209.0,0.0,0.0,1550.0,67.4
1559,Bu-Ali Sina University,Iran,25,0.0,0.0,0.0,1487.0,67.4
1560,Claremont Graduate University,USA,297,0.0,0.0,271.0,1570.0,67.4
1561,University of Zambia,Zambia,1,0.0,0.0,0.0,1488.0,67.4
1562,Cleveland State University,USA,298,0.0,829.0,0.0,1503.0,67.4
1563,Shanghai Maritime University,China,212,0.0,484.0,0.0,1561.0,67.4
1564,Pontifical Javeriana University,Colombia,5,0.0,1128.0,0.0,1496.0,67.4
1565,Inner Mongolia University,China,213,0.0,0.0,0.0,1491.0,67.4
1566,MARA University of Technology,Malaysia,7,0.0,0.0,0.0,1492.0,67.4
1567,Slovak University of Technology in Bratislava,Slovak Republic,3,0.0,0.0,0.0,1493.0,67.4
1568,Tamil Nadu Dr. M.G.R. Medical University,India,40,0.0,0.0,0.0,1494.0,67.4
1569,Anhui Agricultural University,China,214,0.0,0.0,0.0,1495.0,67.4
1570,Sheffield Hallam University,United Kingdom,83,0.0,1525.0,0.0,1497.0,67.4
1571,China Three Gorges University,China,215,0.0,1102.0,0.0,1501.0,67.4
